immeubles_appellation_courante,immeubles_date_siecle,immeubles_adresse,immeubles_reference,immeubles_lat,immeubles_long,immeubles_coordonnees_finales,immeubles_geopoint,nom_realisateur,nationalite_realisateur,date_naissance_realisateur,id_lieu_tournage,annee_tournage,type_tournage,nom_tournage,nom_producteur,adresse_lieu,ardt_lieu,tournage_debut,tournage_duree,tournage_fin,coord_x,coord_y,filmLabel,imdbID,visa,cost,geopoint_tournage,id_lieu_tournage_count
,,,,,,,,Étienne Comar,France,1965-01-25T00:00:00Z,2016-1042,2016,Long métrage,DJANGO MELODIES,Curiosa Films,Rue  De La Boule Rouge,75009,2016-04-22T00:00:00.000Z,1,2016-04-22T00:00:00.000Z,2.344846,48.873479,,,,,POINT(48.873479 2.344846),1
,,,,,,,,Aditya Chopra,India,1971-05-21T00:00:00Z,2016-1043,2016,Long métrage,BEFIKRE,Firstep,116  Avenue  Des Champs Elysees/le Lido,75008,2016-04-29T00:00:00.000Z,1,2016-04-29T00:00:00.000Z,2.300938,48.872265,BEFIKRE,tt5108476,,,POINT(48.872265 2.300938),1
,,,,,,,,Stéphane Robelin,France,1950-01-01T00:00:00Z,2016-1044,2016,Long métrage,FLORA63,Ici Et La Productions,51  Rue  De Belleville,75019,2016-05-10T00:00:00.000Z,1,2016-05-10T00:00:00.000Z,2.381093,48.873179,,,,,POINT(48.873179 2.381093),1
,,,,,,,,Jean-François Davy,France,1945-05-03T00:00:00Z,2016-1045,2016,Long métrage,VIVE LA CRISE,Les Films Montaigne,Square  De La Place Bitche,75019,2016-05-27T00:00:00.000Z,1,2016-05-27T00:00:00.000Z,2.379495,48.889023,,,,,POINT(48.889023 2.379495),1
,,,,,,,,Cyprien Vial,France,1979-06-14T00:00:00Z,2016-1046,2016,Long métrage,EMBRASSE MOI,Nolita Cinema,2  Rue  Turgot,75009,2016-06-20T00:00:00.000Z,4,2016-06-23T00:00:00.000Z,2.345636,48.879892,,,,,POINT(48.879892 2.345636),1
,,,,,,,,Rachid Hami,France,1985-08-16T00:00:00Z,2016-1047,2016,Long métrage,MELODIE,Mizar Films,Rue  Du General Foy,75008,2016-06-22T00:00:00.000Z,1,2016-06-22T00:00:00.000Z,2.317688,48.878822,,,,,POINT(48.878822 2.317688),1
,,,,,,,,Jalil Lespert,France,1976-09-18T00:00:00Z,2016-1048,2016,Long métrage,IRIS/EX CHAOS,Wy Productions,3  Avenue  De Laumiere,75019,2016-02-02T00:00:00.000Z,1,2016-02-02T00:00:00.000Z,2.381239,48.882861,,,,,POINT(48.882861 2.381239),1
,,,,,,,,Audrey Dana,France,1977-09-21T00:00:00Z,2016-1049,2016,Long métrage,SI J'ETAIS UN HOMME,Curiosa Films,Sentier  De La Pointe,75020,2016-02-17T00:00:00.000Z,1,2016-02-17T00:00:00.000Z,2.401617,48.855603,,,,,POINT(48.855603 2.401617),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-105,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Rue  De Constantine,75007,2016-01-29T00:00:00.000Z,1,2016-01-29T00:00:00.000Z,2.314927,48.859541,,,,,POINT(48.859541 2.314927),1
,,,,,,,,Maxime Govare,France,1980-09-29T00:00:00Z,2016-1050,2016,Long métrage,JUST DIVORCED,Les Improductibles,Place  Des Grandes Rigoles,75020,2016-11-08T00:00:00.000Z,1,2016-11-08T00:00:00.000Z,2.389933,48.873625,,,,,POINT(48.873625 2.389933),1
